"Freq [GHz]","dB(S(1,1)) [] - n='5mm'","dB(S(1,1)) [] - n='6mm'","dB(S(1,1)) [] - n='7mm'","dB(S(1,1)) [] - n='8mm'","dB(S(1,1)) [] - n='9mm'","dB(S(1,1)) [] - n='10mm'","dB(S(1,1)) [] - n='11mm'","dB(S(1,1)) [] - n='12mm'","dB(S(1,1)) [] - n='13mm'","dB(S(1,1)) [] - n='14mm'","dB(S(1,1)) [] - n='15mm'"
3.63157894736842,-0.00488278941763376,-0.0150951656679931,-0.0410909121662986,-0.0910474678050316,-0.18628920958831,-0.342876025919447,-0.583207293475232,-0.894914230602867,-1.26859061859615,-1.61746247469337,-1.90860914885138
3.64160401002506,-0.00495757090276212,-0.0153655311538266,-0.0417617368459045,-0.0926398558136551,-0.189500368629985,-0.349212215652597,-0.595810088339886,-0.914655625717303,-1.29296712452208,-1.64539365469216,-1.93665113390666
3.6516290726817,-0.00503345501291103,-0.0156402038045139,-0.0424446199919034,-0.0942586595054203,-0.192765356555093,-0.355804193101763,-0.60867398446143,-0.934721246716347,-1.31763470282357,-1.67354316581873,-1.96479995788111
3.66165413533835,-0.00511045016221969,-0.0159192198771032,-0.0431399120428164,-0.0959043195890813,-0.196086296727648,-0.362600507537348,-0.621802344360474,-0.955110078712376,-1.34258702606316,-1.70189893115873,-1.99304395596087
3.67167919799499,-0.00518856504904767,-0.016202616776541,-0.0438479711927422,-0.0975772886052059,-0.199465572850023,-0.369573876851078,-0.63519852891097,-0.975820977013442,-1.36781742581748,-1.73044846528561,-2.02137113225439
3.68170426065163,-0.00526780866554458,-0.0164904330945458,-0.0445691624507253,-0.0992780313076864,-0.202905853118774,-0.376709325575327,-0.648865892033693,-0.996852662950166,-1.39331889039341,-1.7591788835264,-2.04976917055899
3.69172932330827,-0.00534819030749875,-0.0167827086497002,-0.0453038565924557,-0.101007025057849,-0.206410112945882,-0.383998573536532,-0.662807774904817,-1.01820371961875,-1.41908406307454,-1.78807691231461,-2.07822544618574
3.70175438596491,-0.00542971958449106,-0.0170794845287469,-0.0460524290102477,-0.102764760231598,-0.209981654923543,-0.391437189304769,-0.67702749965902,-1.03987258754482,-1.44510524092505,-1.81712890063732,-2.10672703883952
3.71177944862155,-0.00551240643030585,-0.0173808031291502,-0.0468152584697831,-0.10455174064,-0.213624124418143,-0.399023060919663,-0.691528362569056,-1.06185756027362,-1.47137437417829,-1.84632083257946,-2.13526074654707
3.7218045112782,-0.00559626111368751,-0.0176867082030044,-0.0475927257847047,-0.106368483963761,-0.217341518894438,-0.406755534010234,-0.706313626686524,-1.08415677989244,-1.49788306623653,-1.87563834096484,-2.1638131006205
3.73182957393484,-0.00568129424939779,-0.0179972449022623,-0.0483852124228423,-0.10821552220196,-0.221138188825287,-0.414634905987759,-0.721386513932354,-1.10676823249191,-1.52462257430807,-1.90506672208921,-2.19237038163943
3.74185463659148,-0.00576751680959281,-0.0183124598253782,-0.0491930990604112,-0.110093402135495,-0.225018827876524,-0.422662118779866,-0.736750196630119,-1.12968974357341,-1.55158381070694,-1.9345909515367,-2.22091863642934
3.75187969924812,-0.005854940135553,-0.0186324010653787,-0.0500167641029537,-0.112002685805703,-0.228988450020977,-0.430838566565872,-0.752407788480674,-1.15291897341051,-1.57875734483987,-1.9641957010669,-2.24944369600936
3.76190476190476,-0.00594357594974843,-0.0189571182594747,-0.0508565821940877,-0.113943951008556,-0.233052351386493,-0.439165972375608,-0.76836233498321,-1.17645341237293,-1.60613340590394,-1.993865356555,-2.27793119447706
3.7719298245614,-0.00603343636826576,-0.0192866626401394,-0.0517129227349323,-0.115917791804877,-0.237216055036343,-0.447646307148951,-0.784616803315244,-1.20029037622245,-1.63370188631738,-2.0235840369634,-2.30636658879298
3.78195488721805,-0.00612453391360177,-0.0196210870878606,-0.0525861484386472,-0.117924819047017,-0.241485237563902,-0.456281735666114,-0.801174071692823,-1.22442700139052,-1.66145234590469,-2.05333561431847,-2.33473517942245
3.79197994987469,-0.00621688152785334,-0.0199604461854853,-0.053476613945425,-0.119965660922466,-0.245865637383051,-0.465074579883089,-0.818036918241894,-1.24886024024839,-1.68937401685559,-2.08310373466133,-2.36302213178743
3.80200501253133,-0.00631049258627988,-0.0203047962742916,-0.0543846645237732,-0.122040963514765,-0.250362945902044,-0.474027293780435,-0.835208009422882,-1.2735868563813,-1.71745580947606,-2.1128718399373,-2.39121249847577
3.81203007518797,-0.00640538091128957,-0.0206541955118271,-0.055310634883663,-0.124151391382179,-0.254982684324419,-0.483142445974641,-0.852689888062383,-1.29860341987862,-1.74568631874753,-2.14262319078339,-2.41929124215094
3.82205513784461,-0.00650156078685319,-0.0210087039315485,-0.0562548481262754,-0.126297628154595,-0.259730070511703,-0.49242270765554,-0.870484961059253,-1.32390630265316,-1.77405383170872,-2.17234089016918,-2.44724325910042
3.83208020050125,-0.00659904697332744,-0.0213683835043623,-0.0572176148535645,-0.128480377148954,-0.264609881997936,-0.501870844237592,-0.888595486846283,-1.34949167380316,-1.80254633567223,-2.20200790784123,-2.47505340335654
3.84210526315789,-0.00669785472274082,-0.0217332982021089,-0.0581992324586574,-0.130700362003679,-0.269626322648943,-0.511489709639939,-0.90702356270364,-1.37535549503159,-1.83115152728583,-2.23160710551695,-2.5027065113194
3.85213032581454,-0.00679799979455003,-0.0221035140630541,-0.0591999846152739,-0.132958327332434,-0.274782901375431,-0.521282242453898,-0.925771112035733,-1.40149351613789,-1.85985682244593,-2.26112126276924,-2.53018742680783
3.86215538847118,-0.00689949847187556,-0.0224790992594693,-0.0602201409810521,-0.135255039397588,-0.280082331522895,-0.531251463483813,-0.944839871738997,-1.42790127059817,-1.88864936706806,-2.29053310353894,-2.55748102646051
3.87218045112782,-0.00700236757820035,-0.0228601241673832,-0.0612599571258083,-0.137591286803643,-0.28552645892419,-0.541400474300354,-0.964231379803814,-1.45457407125078,-1.91751604871645,-2.31982532320783,-2.58457224540631
3.88220551378446,-0.0071066244946424,-0.0232466614385245,-0.0623196746915908,-0.139967881210943,-0.291116225069022,-0.551732456549552,-0.983946963309247,-1.48150700610469,-1.94644350909187,-2.34898061616104,-2.61144610312033
3.8922305764411,-0.00721228717768595,-0.0236387860746241,-0.0633995217870026,-0.142385658069917,-0.296851669510411,-0.562250671833042,-1.00398772698351,-1.50869493428909,-1.97541815737368,-2.37798170376394,-2.6380877293794
3.90225563909774,-0.00731937417751293,-0.024036575504069,-0.0644997136138174,-0.144845477375972,-0.302731972717323,-0.572958462025338,-1.0243545425162,-1.5361324821631,-2.00442618440912,-2.40681136267489,-2.66448239022915
3.91228070175439,-0.00742790465687529,-0.0244401096610287,-0.0656204533194058,-0.14734822444523,-0.308755537429677,-0.583859249929616,-1.04504803881912,-1.56381403960559,-2.03345357773908,-2.43545245341246,-2.69061551387337
3.92230576441103,-0.00753789841055445,-0.0248494710671919,-0.0667619330644024,-0.149894810711142,-0.314920103564867,-0.594956540198946,-1.06606859344043,-1.59173375650537,-2.06248613744657,-2.46388794909218,-2.71647271639519
3.93233082706767,-0.00764937588541689,-0.0252647449160848,-0.0679243352909722,-0.152486174541975,-0.321222889236536,-0.606253920468306,-1.087416325342,-1.61988553947304,-2.09150949281013,-2.49210096424598,-2.7420398272196
3.94235588972431,-0.00776235820112386,-0.025686019160173,-0.069107834173764,-0.155123282079055,-0.327660748769015,-0.617755062655984,-1.10909108924977,-1.64826304879611,-2.12050911974109,-2.52007478363489,-2.76730291422669
3.95238095238095,-0.00787686717146073,-0.0261133846008117,-0.0703125972325739,-0.157807128095628,-0.334230337884661,-0.629463724402836,-1.13109247178317,-1.67685969565997,-2.14947035897957,-2.54779289096394,-2.7922483084258
3.96240601503759,-0.00799292532632567,-0.0265469349811263,-0.0715387870835879,-0.160538736875953,-0.340928276517033,-0.641383750625093,-1.15341978955985,-1.7056686396574,-2.17837843502044,-2.57523899740711,-2.81686262810199
3.97243107769424,-0.00811055593444357,-0.0269867670819242,-0.0727865633043318,-0.163319163114314,-0.34775130083073,-0.65351907516169,-1.176072089456,-1.73468278661014,-2.20721847573672,-2.60239706984884,-2.84113280234808
3.98245614035088,-0.00822978302677827,-0.0274329808208231,-0.0740560843865757,-0.166149492833279,-0.354696397778509,-0.665873722501212,-1.19904815118108,-1.76389478672644,-2.23597553266369,-2.62925135874888,-2.86504609389774
3.99248120300752,-0.00835063142067444,-0.0278856793546005,-0.0753475097512403,-0.169030844320633,-0.361760917616656,-0.67845180957643,-1.22234649229686,-1.7932970331186,-2.26463460190368,-2.65578642553676,-2.8885901211782
4.00250626566416,-0.00847312674479083,-0.028344969184951,-0.0766610017995934,-0.171964369083991,-0.368942661952114,-0.691257547616735,-1.24596537577539,-1.82288166070524,-2.29318064560714,-2.68198716944335,-2.91175287950418
4.0125313283208,-0.00859729546479256,-0.0288109602677656,-0.0779967279761753,-0.174951252822166,-0.376239946875078,-0.704295244050362,-1.26990282014914,-1.85264054552289,-2.32159861398221,-2.70783885367769,-2.93452276133896
4.02255639097744,-0.00872316490990586,-0.0292837661260627,-0.0793548628203657,-0.177992716411957,-0.383651642373715,-0.717569304449692,-1.29415661225894,-1.88256530447179,-2.34987346778129,-2.73332713085938,-2.95688857555253
4.03258145363409,-0.00885076330028644,-0.0297635039666718,-0.0807355899853785,-0.181090016908994,-0.391177190445213,-0.731084234513636,-1.31872432255257,-1.91264729552088,-2.37799020120931,-2.75843806761868,-2.9788395656118
4.04260651629073,-0.0089801197752865,-0.0302502948008716,-0.0821391042059829,-0.184244448560879,-0.398816605092057,-0.744844642082014,-1.34360332283025,-1.94287761839665,-2.4059338651955,-2.78315816827944,-3.00036542664278
4.05263157894737,-0.00911126442264226,-0.0307442635690641,-0.0835656131986624,-0.18745734383079,-0.406570457759476,-0.758855239177119,-1.368790806274,-1.9732471157807,-2.43368959096659,-2.80747439754324,-3.02145632131062
4.06265664160401,-0.00924422830857233,-0.031245539269653,-0.0850153394807536,-0.190730074429264,-0.414439851800731,-0.773120844068085,-1.39428380953703,-2.00374637504012,-2.46124261385684,-2.83137420209675,-3.04210289446889
4.07268170426065,-0.00937904350888988,-0.0317542550923354,-0.0864885220978804,-0.194064052351816,-0.422426389335959,-0.787646383353876,-1.42007923661033,-2.03436573051481,-2.48857829728749,-2.85484553106865,-3.06229628653593
4.08270676691729,-0.0095157431411162,-0.0322705485558701,-0.087985418251927,-0.197460730919537,-0.430532133484743,-0.802436894060725,-1.44617388412602,-2.06509526638495,-2.51568215684513,-2.87787685526728,-3.08202814556244
4.09273182957393,-0.00965436139761752,-0.0327945616505925,-0.0895063048242555,-0.20092160581973,-0.438759568478357,-0.817497525749977,-1.47256446770582,-2.09592482014127,-2.54253988438707,-2.90045718513499,-3.10129063796094
